Back to Contents,Data 1: U.S. Ending Stocks of Crude Oil (Thousand Barrels),,,
Sourcekey,MCRSTUS1,,,
Date,U.S. Ending Stocks of Crude Oil (Thousand Barrels),,,
Jul-2010,1084195,,,
Aug-2010,1085902,,,
Sep-2010,1089348,,,
Oct-2010,1094142,,,
Nov-2010,1079022,,,
Dec-2010,1059975,,,
Jan-2011,1071588,,,
Feb-2011,1075009,,,
Mar-2011,1086755,,,
Apr-2011,1093083,,,
May-2011,1094891,,,
Jun-2011,1082294,,,
Jul-2011,1064555,,,
Aug-2011,1043217,,,
Sep-2011,1026138,,,
Oct-2011,1032926,,,
Nov-2011,1032824,,,
Dec-2011,1026630,,,
Jan-2012,1039424,,,
Feb-2012,1044434,,,
Mar-2012,1069147,,,
Apr-2012,1078809,,,
May-2012,1083886,,,
Jun-2012,1083932,,,
Jul-2012,1068614,,,
Aug-2012,1058374,,,
Sep-2012,1064912,,,
Oct-2012,1071261,,,
Nov-2012,1074360,,,
Dec-2012,1060764,,,
Jan-2013,1073221,,,
Feb-2013,1081179,,,
Mar-2013,1089098,,,
Apr-2013,1092400,,,
May-2013,1088008,,,
Jun-2013,1073405,,,
Jul-2013,1063852,,,
Aug-2013,1061699,,,
Sep-2013,1068987,,,
Oct-2013,1077631,,,
Nov-2013,1069594,,,
Dec-2013,1053032,,,
Jan-2014,1063362,,,
Feb-2014,1072612,,,
Mar-2014,1082585,,,
Apr-2014,1090435,,,
May-2014,1088004,,,
Jun-2014,1076983,,,
Jul-2014,1061452,,,
Aug-2014,1053499,,,
Sep-2014,1054294,,,
Oct-2014,1073953,,,
Nov-2014,1080012,,,
Dec-2014,1084300,,,
Jan-2015,1112428,,,
Feb-2015,1138992,,,
Mar-2015,1165765,,,
Apr-2015,1174326,,,
May-2015,1171680,,,
Jun-2015,1163430,,,
Jul-2015,1150604,,,
Aug-2015,1152940,,,
Sep-2015,1155914,,,
Oct-2015,1181826,,,
Nov-2015,1182541,,,
Dec-2015,1176487,,,
Jan-2016,1195186,,,
,,,,
